series_idx,window_start,window_end,anchor_index,curv_pred,curv_real,left_radius_pred,right_radius_pred,left_radius_real,right_radius_real,side_pred,side_real,iid_avg_window,sonar_distance_last
122,122,126,126,0.00039999998989515007,0.00039999998989515007,2500.0,300.0,2500.0,400.0,left,left,4.265933036804199,0.9361183047294617
123,123,127,127,0.00039999998989515007,0.00039999998989515007,2500.0,350.0,2500.0,500.0,left,left,4.175681114196777,1.099926471710205
124,124,128,128,0.00039999998989515007,0.0005882352706976235,2500.0,300.0,1700.0,550.0,left,left,4.593771934509277,1.3910815715789795
125,125,129,129,-0.00039999998989515007,-0.0007692307699471712,750.0,2500.0,800.0,1300.0,right,right,3.1045010089874268,1.0811890363693237
126,126,130,130,-0.0006896551931276917,-0.0007999999797903001,550.0,1450.0,550.0,1250.0,right,right,0.4383903443813324,0.9363123178482056
127,127,131,131,-0.0010000000474974513,-0.0008333333535119891,450.0,1000.0,500.0,1200.0,right,right,-2.0016486644744873,0.9903892874717712
128,128,132,132,-0.0010526315309107304,-0.0009523809421807528,400.0,950.0,450.0,1050.0,right,right,-3.2719855308532715,0.9363123178482056
129,129,133,133,-0.0010000000474974513,-0.0009090909152291715,350.0,1000.0,400.0,1100.0,right,right,-5.348965167999268,0.8269781470298767
130,130,134,134,-0.0009523809421807528,-0.0007999999797903001,300.0,1050.0,350.0,1250.0,right,right,-5.976054668426514,0.7909597158432007
131,131,135,135,-0.0006249999860301614,-0.0005405405536293983,350.0,1600.0,400.0,1850.0,right,right,-6.325239658355713,0.8456789255142212
132,132,136,136,-0.00039999998989515007,-0.00039999998989515007,350.0,2500.0,400.0,2500.0,right,right,-6.544788360595703,0.8451520204544067
133,133,137,137,-0.00039999998989515007,-0.00039999998989515007,350.0,2500.0,450.0,2500.0,right,right,-6.739317893981934,0.9362637400627136
134,134,138,138,-0.00039999998989515007,-0.00039999998989515007,400.0,2500.0,500.0,2500.0,right,right,-6.428994178771973,1.171678066253662
135,135,139,139,-0.00039999998989515007,-0.00039999998989515007,350.0,2500.0,550.0,2500.0,right,right,-5.799899101257324,1.1731268167495728
136,136,140,140,-0.00039999998989515007,-0.0005263157654553652,550.0,2500.0,550.0,1900.0,right,right,-5.087002277374268,0.9359244704246521
137,137,141,141,0.0,-0.00039999998989515007,2500.0,2500.0,750.0,2500.0,straight_open,right,-3.9772439002990723,1.4989502429962158
138,138,142,142,-0.00039999998989515007,-0.0005882352706976235,1000.0,2500.0,750.0,1700.0,right,right,-4.31404447555542,1.4082527160644531
139,139,143,143,-0.00039999998989515007,-0.0006666666595265269,800.0,2500.0,700.0,1500.0,right,right,-4.76507568359375,1.3731098175048828
140,140,144,144,-0.0005714285653084517,-0.0007692307699471712,650.0,1750.0,650.0,1300.0,right,right,-5.069855690002441,1.191068410873413
141,141,145,145,-0.0009090909152291715,-0.0008695652359165251,550.0,1100.0,500.0,1150.0,right,right,-5.469220161437988,1.0447946786880493
142,142,146,146,-0.0010526315309107304,-0.0008695652359165251,450.0,950.0,450.0,1150.0,right,right,-6.047872543334961,0.8633707761764526
143,143,147,147,-0.0010526315309107304,-0.0008333333535119891,350.0,950.0,350.0,1200.0,right,right,-6.188054084777832,0.8085518479347229
144,144,148,148,-0.0006896551931276917,-0.000606060610152781,300.0,1450.0,350.0,1650.0,right,right,-7.006471157073975,0.8448886275291443
145,145,149,149,-0.00039999998989515007,-0.0005000000237487257,300.0,2500.0,350.0,2000.0,right,right,-7.3802690505981445,0.8267631530761719
146,146,150,150,-0.00039999998989515007,-0.0005128204938955605,350.0,2500.0,450.0,1950.0,right,right,-7.531321048736572,0.8638637661933899
147,147,151,151,-0.00039999998989515007,-0.0005555555690079927,450.0,2500.0,550.0,1800.0,right,right,-7.713675498962402,1.7187269926071167
148,148,152,152,-0.00039999998989515007,-0.0006451613153330982,450.0,2500.0,550.0,1550.0,right,right,-8.22337818145752,1.5715433359146118
149,149,153,153,0.0,-0.0007142857066355646,2500.0,2500.0,600.0,1400.0,straight_open,right,-6.9972333908081055,1.4628385305404663
150,150,154,154,-0.0006451613153330982,-0.0008333333535119891,850.0,1550.0,600.0,1200.0,right,right,-5.964951515197754,1.2638005018234253
151,151,155,155,-0.0010000000474974513,-0.0010526315309107304,650.0,1000.0,550.0,950.0,right,right,-5.496991157531738,1.1000398397445679
152,152,156,156,-0.0012499999720603228,-0.0013333333190530539,450.0,800.0,500.0,750.0,right,right,-4.717121124267578,0.9727213382720947
153,153,157,157,-0.001176470541395247,-0.001176470541395247,400.0,850.0,400.0,850.0,right,right,-3.557994842529297,0.7727383375167847
154,154,158,158,-0.0007999999797903001,-0.0006896551931276917,350.0,1250.0,300.0,1450.0,right,right,-3.7433128356933594,0.7182725071907043
155,155,159,159,-0.00039999998989515007,-0.00039999998989515007,300.0,2500.0,250.0,2500.0,right,right,-4.922084331512451,0.699651300907135
156,156,160,160,-0.00039999998989515007,-0.00039999998989515007,350.0,2500.0,350.0,2500.0,right,right,-5.279953479766846,0.8273651003837585
157,157,161,161,-0.00039999998989515007,-0.00039999998989515007,550.0,2500.0,650.0,2500.0,right,right,-5.4218645095825195,1.2451051473617554
158,158,162,162,-0.00039999998989515007,-0.00039999998989515007,650.0,2500.0,900.0,2500.0,right,right,-6.595761775970459,2.1370205879211426
159,159,163,163,0.0,-0.0005405405536293983,2500.0,2500.0,1000.0,1850.0,straight_open,right,-6.776902198791504,1.989699363708496
160,160,164,164,0.0010526315309107304,0.0007692307699471712,950.0,550.0,1300.0,550.0,left,left,-3.7453460693359375,0.8084676861763
161,161,165,165,0.0009523809421807528,0.0008695652359165251,1050.0,450.0,1150.0,400.0,left,left,-0.6728242635726929,0.9367971420288086
162,162,166,166,0.0010000000474974513,0.0010000000474974513,1000.0,350.0,1000.0,400.0,left,left,1.413875937461853,1.0086647272109985
163,163,167,167,0.0013333333190530539,0.0013333333190530539,750.0,300.0,750.0,350.0,left,left,4.2777886390686035,0.8456349968910217
164,164,168,168,0.0013333333190530539,0.0013333333190530539,750.0,250.0,750.0,400.0,left,left,6.220794200897217,0.5906867980957031
165,165,169,169,0.0012499999720603228,0.0010000000474974513,800.0,350.0,1000.0,350.0,left,left,5.641223907470703,0.8639982342720032
166,166,170,170,0.0011111111380159855,0.0009090909152291715,900.0,300.0,1100.0,300.0,left,left,4.439835071563721,0.7547940611839294
167,167,171,171,0.00074074073927477,0.0006896551931276917,1350.0,300.0,1450.0,300.0,left,left,4.977255821228027,0.7364161610603333
168,168,172,172,0.00039999998989515007,0.0005000000237487257,2500.0,300.0,2000.0,300.0,left,left,5.35225772857666,0.8456789255142212
169,169,173,173,0.00039999998989515007,0.00039999998989515007,2500.0,250.0,2500.0,350.0,left,left,6.120070934295654,0.8813625574111938
170,170,174,174,-0.0011111111380159855,-0.0011111111380159855,600.0,900.0,550.0,900.0,right,right,5.056771278381348,0.973073422908783
171,171,175,175,-0.0011111111380159855,-0.0011111111380159855,400.0,900.0,400.0,900.0,right,right,4.692152500152588,0.35434237122535706
172,172,176,176,-0.002222222276031971,-0.002222222276031971,400.0,450.0,350.0,450.0,right,right,1.9183342456817627,0.6816585659980774
173,173,177,177,-0.002222222276031971,-0.0016666667070239782,300.0,450.0,300.0,600.0,right,right,0.40735921263694763,0.6636914014816284
174,174,178,178,-0.001818181830458343,-0.0012499999720603228,250.0,550.0,250.0,800.0,right,right,-1.9103176593780518,0.5910289287567139
175,175,179,179,-0.0010000000474974513,-0.00043478261795826256,nan,1000.0,nan,2300.0,right,right,-2.218914031982422,0.5724534392356873
176,176,180,180,-0.00039999998989515007,-0.00039999998989515007,nan,2500.0,250.0,2500.0,right,right,-3.50236439704895,0.6637957096099854
177,177,181,181,-0.00039999998989515007,-0.00039999998989515007,nan,2500.0,300.0,2500.0,right,right,-3.44377064704895,0.9182755947113037
178,178,182,182,0.0,-0.00039999998989515007,2500.0,2500.0,1150.0,2500.0,straight_open,right,-4.599883079528809,2.573500633239746
179,179,183,183,0.0,-0.00039999998989515007,2500.0,2500.0,1200.0,2500.0,straight_open,right,-4.585953712463379,2.4083497524261475
180,180,184,184,0.0,-0.00039999998989515007,2500.0,2500.0,1250.0,2500.0,straight_open,right,-4.878670692443848,2.2272732257843018
181,181,185,185,0.0,-0.0005263157654553652,2500.0,2500.0,1150.0,1900.0,straight_open,right,-4.728975772857666,2.0625908374786377
182,182,186,186,0.0008695652359165251,0.0008695652359165251,1150.0,550.0,1150.0,600.0,left,left,-2.659191846847534,0.8998136520385742
183,183,187,187,0.0009090909152291715,0.0009090909152291715,1100.0,400.0,1100.0,400.0,left,left,0.5286377668380737,0.8452838063240051
184,184,188,188,0.0011111111380159855,0.0009523809421807528,900.0,400.0,1050.0,400.0,left,left,1.8286148309707642,0.4635502099990845
185,185,189,189,0.001176470541395247,0.0009090909152291715,850.0,450.0,1100.0,550.0,left,left,3.8660125732421875,1.0993592739105225
